1.8850904218925962e+08,9.852359097676237e+07,2.8177974324758756e+06
1.868110111776305e+08,1.0234181471119335e+08,2.944192826972096e+06
1.8504553953067285e+08,1.0612309327277146e+08,3.069525378578906e+06
1.8321355609133947e+08,1.0986622877383512e+08,3.193754676954646e+06
1.8131601036324954e+08,1.1357005034117636e+08,3.3168411436269213e+06
1.7935387160339215e+08,1.172334143873888e+08,3.4387460424772194e+06
1.7732812791865632e+08,1.2085520484888859e+08,3.5594314891433045e+06
1.7523978536745512e+08,1.244343333913335e+08,3.678860459360339e+06
1.7308986706765342e+08,1.2796973958321108e+08,3.796996796263297e+06
1.7087941231194758e+08,1.3146039103840566e+08,3.913805216674589e+06
1.686094756917837e+08,1.3490528352859107e+08,4.0292513164021475e+06
1.6628112623083836e+08,1.3830344106632805e+08,4.143301574574353e+06
1.6389544652902552e+08,1.416539159597731e+08,4.255923357039228e+06
1.6145353191792983e+08,1.44955788839929e+08,4.367084918856161e+06
1.5895648962850448e+08,1.4820816866138992e+08,4.4767554059093045e+06
1.5640543797181153e+08,1.5141019267754644e+08,4.584904855672315e+06
1.5380150553352302e+08,1.5456102639123398e+08,4.691504197154742e+06
1.5114583038283837e+08,1.5765986348181343e+08,4.796525250060761e+06
1.484395592964185e+08,1.607059257096815e+08,4.89994072319122e+06
1.4568384699787813e+08,1.6369846279921055e+08,5.001724212120269e+06
1.4287985541332287e+08,1.666367523011195e+08,5.101850196177903e+06
1.4002875294336006e+08,1.6952009943527305e+08,5.200294034769789e+06
1.3713171375196588e+08,1.7234783691490197e+08,5.297031963065664e+06
1.3418991707253273e+08,1.751193247532327e+08,5.392041087087539e+06
1.312045465313773e+08,1.7783395005349824e+08,5.485299378228569e+06
1.2817678948893811e+08,1.8049112678329915e+08,5.576785667233344e+06
1.2510783639885004e+08,1.8309029553426093e+08,5.66647963766981e+06
1.2199888018503372e+08,1.8563092326792687e+08,5.7543618189228205e+06
1.1885111563690303e+08,1.88112503048801e+08,5.840413578738635e+06
1.1566573882274698e+08,1.9053455376544264e+08,5.924617115349319e+06
1.1244394652131097e+08,1.9289661984049198e+08,6.006955449205382e+06
1.0918693567156161e+08,1.951982709304838e+08,6.087412414344314e+06
1.0589590284058897e+08,1.9743910161628833e+08,6.165972649422179e+06
1.0257204370956582e+08,1.9961873108499157e+08,6.242621588434605e+06
9.921655257765616e+07,2.0173680280400458e+08,6.317345451152869e+06
9.5830621883735e+07,2.0379298418816933e+08,6.390131233300061e+06
9.241544174575607e+07,2.057869662606019e+08,6.460966696491573e+06
8.897219951758282e+07,2.0771846330798653e+08,6.52984035796323e+06
8.550207936306924e+07,2.0958721253101543e+08,6.596741480109952e+06
8.200626184716465e+07,2.11392973690635e+08,6.661660059856603e+06
7.84859235437907e+07,2.1313552875074014e+08,6.724586817882283e+06
7.494223666022609e+07,2.148146815179297e+08,6.785513187718284e+06
7.13763686777164e+07,2.164302572789093e+08,6.8444313047392005e+06
6.778948200801463e+07,2.1798210243610597e+08,6.901333995065923e+06
6.418273366554272e+07,2.194700841420293e+08,6.956214764398386e+06
6.055727495485665e+07,2.2089408993289173e+08,7.009067786795196e+06
5.6914251173083365e+07,2.22254027361976e+08,7.059887893416495e+06
5.325480132699517e+07,2.2354982363320932e+08,7.108670561245572e+06
4.958005786437401e+07,2.2478142523538655e+08,7.1554119018040905e+06
4.589114641931673e+07,2.2594879757745442e+08,7.200108649874933e+06
4.21891855711237e+07,2.2705192462525117e+08,7.242758152246041e+06
3.847528661641304e+07,2.2809080854006904e+08,7.283358356487805e+06
3.475055335409697e+07,2.290654693193894e+08,7.321907799775954e+06
3.1016081882854074e+07,2.2997594444011527e+08,7.358405597771147e+06
2.7272960410735883e+07,2.3082228850460777e+08,7.392851433565816e+06
2.352226907653603e+07,2.3160457288981083e+08,7.425245546708179e+06
1.9765079782562204e+07,2.32322885399732e+08,7.455588722312693e+06
1.6002456038442353e+07,2.329773299215238e+08,7.4838822802656e+06
1.223545281560417e+07,2.335680260853967e+08,7.510128064533658e+06
8.465116412067799e+06,2.3409510892857397e+08,7.5343284325835435e+06
4.692484327194212e+06,2.3455872856348205e+08,7.556486244918865e+06
918585.1460357159,2.34959049850356e+08,7.576604854741233e+06
-2.8555615670622345e+06,2.3529625207442066e+08,7.594688097741262e+06
-6.628945365950965e+06,2.3557052862779605e+08,7.610740282024921e+06
-1.0400565011603793e+07,2.3578208669625917e+08,7.624766178180179e+06
-1.4169428552809589e+07,2.359311469509818e+08,7.636771009488416e+06
-1.7934553398967505e+07,2.3601794324535012e+08,7.646760442284676e+06
-2.169496638530454e+07,2.3604272231695956e+08,7.654740576470353e+06
-2.544970383083748e+07,2.3600574349486616e+08,7.660717936181576e+06
-2.9197811589389287e+07,2.3590727841216585e+08,7.664699460616176e+06
-3.2938345093968943e+07,2.357476107239587e+08,7.666692495021665e+06
-3.667036939481135e+07,2.3552703583074942e+08,7.666704781846448e+06
-4.0392959191374764e+07,2.3524586060732275e+08,7.664744452056083e+06
-4.4105198858579e+07,2.3490440313712227e+08,7.660820016616055e+06
-4.780618246756577e+07,2.3450299245215806e+08,7.654940358142411e+06
-5.149501380125519e+07,2.3404196827845156e+08,7.647114722721057e+06
-5.517080636496551e+07,2.335216807870271e+08,7.637352711896526e+06
-5.883268339235254e+07,2.329424903504466e+08,7.625664274830607e+06
-6.2479777846924566e+07,2.3230476730487943e+08,7.612059700631039e+06
-6.61112324193808e+07,2.316088917176915e+08,7.596549610850274e+06
-6.972619952100787e+07,2.3085525316053477e+08,7.579144952154084e+06
